nome_usuario;id_usuario;cargo;tipo_usuario;sexo;email;status_usuario;quantidade_milhas;area
Bricia Miramontes;1;ANL;b3_social;Feminino;bricia.miramontes@b4.com.br;1;0;B3 Social
Angel Echeverria;2;ANL;comum;Masculino;angel.echeverria@b4.com.br;1;0;Produtos Analytics
Sergio Frescas;3;ANL;comum;Masculino;sergio.frescas@b4.com.br;1;0;Listados
Allison Estrada;4;ANL;comum;Feminino;allison.estrada@b4.com.br;1;0;Produtos Analytics
Grant Trujillo;5;AUDITOR;comum;Masculino;grant.trujillo@b4.com.br;1;0;Listados
Zenia Compean;6;AST;comum;Feminino;zenia.compean@b4.com.br;1;0;Produtos Analytics
Savanna Rodriguez;7;OUTROS;comum;Feminino;savanna.rodriguez@b4.com.br;1;0;Listados
Chanelle Trejo;8;ADVOGADO;comum;Feminino;chanelle.trejo@b4.com.br;1;0;Balcao
Saul Landeros;9;ANL;comum;Masculino;saul.landeros@b4.com.br;1;0;Produtos Analytics
Alma Carrasco;10;ANL;comum;Feminino;alma.carrasco@b4.com.br;1;0;Produtos Analytics
Justin Sandoval;11;ANL;comum;Masculino;justin.sandoval@b4.com.br;1;0;Produtos Analytics
Marvin Cordova;12;ANL;comum;Masculino;marvin.cordova@b4.com.br;1;0;Balcao
Jenna Ortega;13;CONS;comum;Feminino;jenna.ortega@b4.com.br;1;0;Listados
Luis Mier Tapia;14;ANL;comum;Masculino;luis.tapia@b4.com.br;1;0;Listados
Brandon Garcia;15;ANL;comum;Masculino;brandon.garcia@b4.com.br;1;0;Listados
Damian Chavez;16;ANL;comum;Masculino;damian.chavez@b4.com.br;1;0;Listados
Rey Garcia;17;ANL;comum;Masculino;rey.garcia@b4.com.br;1;0;Listados
Sariah De Dios;18;ANL;comum;Feminino;sariah.dios@b4.com.br;1;0;Produtos Analytics
Derrick Abeyta;19;ADVOGADO;comum;Masculino;derrick.abeyta@b4.com.br;1;0;Balcao
Alexandra Rivera;20;ESTAGIARIO;comum;Feminino;alexandra.rivera@b4.com.br;1;0;Listados
Matthew Cedano;21;ANL;comum;Masculino;matthew.cedano@b4.com.br;1;0;Produtos Analytics
Clarissa Ortiz Sandoval;22;ANL;comum;Feminino;clarissa.sandoval@b4.com.br;1;0;Produtos Analytics
Marie Foster;23;ANL;comum;Feminino;marie.foster@b4.com.br;1;0;Listados
Bianca Retana Castaneda;24;ANL;comum;Feminino;bianca.castaneda@b4.com.br;1;0;Listados
Ruben Gonzales;25;ANL;comum;Masculino;ruben.gonzales@b4.com.br;1;0;Balcao
Bodine Shells;26;GTE;comum;Masculino;bodine.shells@b4.com.br;1;0;Listados
